name,address,lat,lng,kreis,group,size,geometry,index_right,objid,objectid,district,qnr,kname,knr
Coop Supermarkt Zürich Rütihof,"Rütihofstrasse 15, 8049 Zürich, Schweiz",47.4137365,8.4796158,Kreis 10,competitors,1.0,POINT (8.4796158 47.4137365),20.0,28,21.0,Höngg,101.0,Kreis 10,10.0
Coop Pronto Shop mit Tankstelle Zürich Höngg,"Am Wasser 146, 8049 Zürich, Schweiz",47.399528,8.497225,Kreis 10,competitors,0.3,POINT (8.497225 47.399528),20.0,28,21.0,Höngg,101.0,Kreis 10,10.0
Höngger Zeitung,"Meierhofpl. 2, 8049 Zürich, Schweiz",47.4015236,8.4999917,Kreis 10,competitors,1.0,POINT (8.4999917 47.4015236),20.0,28,21.0,Höngg,101.0,Kreis 10,10.0
Alnatura Bio Super Markt Zürich Höngg,"Kappenbühlweg 5, 8049 Zürich, Schweiz",47.4033715,8.4980216,Kreis 10,competitors,1.0,POINT (8.4980216 47.4033715),20.0,28,21.0,Höngg,101.0,Kreis 10,10.0
Maxim Food,"Wehntalerstrasse 530, 8046 Zürich, Schweiz",47.4184223,8.5087023,Kreis 10,competitors,1.0,POINT (8.5087023 47.4184223),18.0,26,19.0,Affoltern,111.0,Kreis 11,11.0
VOI Zürich - Hönggerstrasse,"Hönggerstrasse 117, 8037 Zürich, Schweiz",47.3953281,8.5183059,Kreis 10,competitors,1.0,POINT (8.5183059 47.3953281),21.0,29,22.0,Wipkingen,102.0,Kreis 10,10.0
Stadtmagazin Kreis10,"Kyburgstrasse 29, 8037 Zürich, Schweiz",47.3930729,8.5262726,Kreis 10,competitors,1.0,POINT (8.5262726 47.3930729),21.0,29,22.0,Wipkingen,102.0,Kreis 10,10.0
Coop Supermarkt Zürich Hofwiesenstrasse,"Hofwiesenstrasse 370, 8050 Zürich, Schweiz",47.4111959,8.5444925,Kreis 10,competitors,1.0,POINT (8.5444925 47.4111959),19.0,27,20.0,Oerlikon,115.0,Kreis 11,11.0
Take Away - Zürich - Wiedikon M-Märt,"Birmensdorferstrasse 320, 8055 Zürich, Schweiz",47.3699499,8.508406,Kreis 3,migros_group,1.0,POINT (8.508406 47.3699499),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Migros Take Away,"Birmensdorferstrasse 140, 8003 Zürich, Schweiz",47.3700513,8.5202202,Kreis 3,migros_group,1.0,POINT (8.5202202 47.3700513),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Wiediker Märt,"Birmensdorferstrasse 320, 8055 Zürich, Schweiz",47.3698925,8.5086107,Kreis 3,migros_group,1.0,POINT (8.5086107 47.3698925),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Coop Supermarkt Zürich Talwiesenstrasse,"Birmensdorferstrasse 310, 8055 Zürich, Schweiz",47.3699656,8.509094,Kreis 3,competitors,1.0,POINT (8.509094 47.3699656),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Coop Supermarkt Zürich Manessehof,"Uetlibergstrasse 20, 8045 Zürich, Schweiz",47.3648791,8.5210603,Kreis 3,competitors,1.0,POINT (8.5210603 47.3648791),0.0,1,1.0,Alt-Wiedikon,31.0,Kreis 3,3.0
Coop Vitality Zürich-Wiedikon,"Birmensdorferstrasse 200, 8003 Zürich, Schweiz",47.3707958,8.5160521,Kreis 3,competitors,1.0,POINT (8.5160521 47.3707958),17.0,24,17.0,Sihlfeld,34.0,Kreis 3,3.0
Coop Supermarkt Zürich Zentrum Friesenberg,"Friesenbergpl. 3, 8045 Zürich, Schweiz",47.3611712,8.5065159,Kreis 3,competitors,1.0,POINT (8.5065159 47.3611712),31.0,6,31.0,Friesenberg,33.0,Kreis 3,3.0
