name,address,lat,lng,kreis,district,group,size
Migros-Supermarkt - Zürich - Seebach,"Schaffhauserstrasse 470, 8052 Zürich, Schweiz",47.4195302,8.5483282,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Herdern,"Pfingstweidstrasse 101, 8005 Zürich, Schweiz",47.3902225,8.508951999999999,Kreis 8,Mühlebach,migros_group,1.0
Migros-Supermarkt - Zürich - Wipkingen,"Scheffelstrasse 3, 8037 Zürich, Schweiz",47.3936979,8.5292409,Kreis 8,Mühlebach,migros_group,1.0
Genossenschaft Migros Zürich,"Pfingstweidstrasse 101, 8005 Zürich, Schweiz",47.3899917,8.5095371,Kreis 8,Mühlebach,migros_group,1.0
Denner Campus,"Grubenstrasse 10, 8045 Zürich, Schweiz",47.3622363,8.5167287,Kreis 8,Mühlebach,migros_group,1.0
Denner Discount,"Limmatstrasse 152, 8005 Zürich, Schweiz",47.3857949,8.5319332,Kreis 8,Mühlebach,migros_group,1.0
Denner Express,"Molkenstrasse 8, 8004 Zürich, Schweiz",47.3766288,8.5272297,Kreis 8,Mühlebach,migros_group,0.3
Denner Discount,"Binzmühlestrasse 80, 8050 Zürich, Schweiz",47.4143106,8.5421529,Kreis 8,Mühlebach,migros_group,1.0
Denner Discount,"Werdstrasse 36, 8004 Zürich, Schweiz",47.3728511,8.5296261,Kreis 8,Mühlebach,migros_group,1.0
Denner Discount,"Fierzgasse 18, 8005 Zürich, Schweiz",47.3838772,8.531965699999999,Kreis 8,Mühlebach,migros_group,1.0
Denner Express,"Hottingerstrasse 52, 8032 Zürich, Schweiz",47.3690299,8.5558873,Kreis 8,Mühlebach,migros_group,0.3
Denner Express,"Hofwiesenstrasse 135, 8057 Zürich, Schweiz",47.3990363,8.5325936,Kreis 8,Mühlebach,migros_group,0.3
Denner Express,"Wengistrasse 7, 8004 Zürich, Schweiz",47.374879400000005,8.523428299999999,Kreis 8,Mühlebach,migros_group,0.3
Denner Express,"Apollostrasse 2, 8032 Zürich, Schweiz",47.364459,8.5556508,Kreis 8,Mühlebach,migros_group,0.3
Denner Express,"Winterthurerstrasse 83, 8006 Zürich, Schweiz",47.3906931,8.545193099999999,Kreis 8,Mühlebach,migros_group,0.3
Denner Express,"Toblerstrasse 76, 8044 Zürich, Schweiz",47.3788752,8.5594874,Kreis 8,Mühlebach,migros_group,0.3
Denner Express,"Limmattalstrasse 177, 8049 Zürich, Schweiz",47.4018108,8.4994459,Kreis 8,Mühlebach,migros_group,0.3
migrolino Zürich HB,"Hauptbahnhof, Bahnhofquai, 8001 Zürich, Schweiz",47.3778211,8.5404269,Kreis 8,Mühlebach,migros_group,0.3
migrolino Zürich-Niederdorfstrasse,"Niederdorfstrasse 88, 8001 Zürich, Schweiz",47.3762269,8.54413,Kreis 8,Mühlebach,migros_group,0.3
migrolino Zürich Sihlquai,"Sihlquai 155, 8005 Zürich, Schweiz",47.3860452,8.5319444,Kreis 8,Mühlebach,migros_group,0.3
migrolino fresh Zürich Langstrasse,"Langstrasse 134, 8004 Zürich, Schweiz",47.3798155,8.5279692,Kreis 8,Mühlebach,migros_group,0.3
migrolino Zürich Thurgauerstrasse,"Thurgauerstrasse 100, 8052 Zürich, Schweiz",47.419796899999994,8.5563336,Kreis 8,Mühlebach,migros_group,0.3
migrolino Zürich Waffenplatz,"Waffenplatzstrasse 40, 8002 Zürich, Schweiz",47.3595129,8.5266093,Kreis 8,Mühlebach,migros_group,0.3
migrolino Triemli,"Birmensdorferstrasse 484, 8055 Zürich, Schweiz",47.3685826,8.4966337,Kreis 8,Mühlebach,migros_group,0.3
migrolino Zürich Birmensdorferstrasse,"Birmensdorferstrasse 517, 8055 Zürich, Schweiz",47.3674068,8.4944007,Kreis 8,Mühlebach,migros_group,0.3
Coop Supermarkt Zürich Kreuzplatz,"Forchstrasse 4, 8008 Zürich, Schweiz",47.364332399999995,8.555116199999999,Kreis 8,Mühlebach,competitors,1.0
Coop City Zürich Bellevue,"Theaterstrasse 18, 8001 Zürich, Schweiz",47.3671373,8.545990699999999,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Tiefenbrunnen,"Seefeldstrasse 199, 8008 Zürich, Schweiz",47.3533668,8.559119299999999,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt City Zürich St. Annahof Food,"Bahnhofstrasse 57, 8001 Zürich, Schweiz",47.372955,8.5378441,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Römerhof,"Klosbachstrasse 104, 8032 Zürich, Schweiz",47.3678289,8.560876799999999,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Bahnhofbrücke,"Bahnhofbrücke 1, 8001 Zürich, Schweiz",47.3764584,8.5423575,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich ShopVille HB,"Halle, Löwenstrasse, 8001 Zürich, Schweiz",47.3775432,8.5385001,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Bärengasse,"Bärengasse 16, 8001 Zürich, Schweiz",47.3700619,8.537119299999999,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Bleicherweg,"Bleicherweg 19, 8002 Zürich, Schweiz",47.3678568,8.5360018,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Stauffacher,"Badenerstrasse 15, 8004 Zürich, Schweiz",47.373495899999995,8.5306239,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Wipkingerbrücke,"Röschibachstrasse 22, 8037 Zürich, Schweiz",47.392773899999995,8.524647,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Fluntern,"Zürichbergstrasse 75, 8044 Zürich, Schweiz",47.3763898,8.5596587,Kreis 8,Mühlebach,competitors,1.0
Coop Pronto Shop Zürich Löwenstrasse,"Löwenstrasse 7, 8001 Zürich, Schweiz",47.3733669,8.534484299999999,Kreis 8,Mühlebach,competitors,0.3
Coop Supermarkt Zürich Hohlstrasse,"Hohlstrasse 35, 8004 Zürich, Schweiz",47.3771023,8.5265009,Kreis 8,Mühlebach,competitors,1.0
Coop City,"Bahnhofstrasse 57, 8001 Zürich, Schweiz",47.3728798,8.5380649,Kreis 8,Mühlebach,competitors,1.0
Coop Supermarkt Zürich Lochergut,"Badenerstrasse 244, 8004 Zürich, Schweiz",47.3757357,8.517332999999999,Kreis 8,Mühlebach,competitors,1.0
SPAR express,"Hottingerstrasse 2, 8032 Zürich, Schweiz",47.3703542,8.5494065,Kreis 8,Mühlebach,competitors,0.3
Spar Express Mythenquai,"Mythenquai 349b, 8038 Zürich, Schweiz",47.3459131,8.534711,Kreis 8,Mühlebach,competitors,0.3
Denner Discount,"Witikonerstrasse 299, Einkaufszentrum Witikon, 8053 Zürich, Schweiz",47.3584599,8.5862955,Kreis 8,Weinegg,migros_group,1.0
Denner Express,"Uetlibergstrasse 102, 8045 Zürich, Schweiz",47.3618578,8.5177357,Kreis 8,Weinegg,migros_group,0.3
Denner Discount,"Birmensdorferstrasse 406, 8055 Zürich, Schweiz",47.369243,8.5030427,Kreis 8,Weinegg,migros_group,1.0
Migros-Supermarkt - Zürich - Schaffhauserplatz,"Schaffhauserstrasse 75, 8057 Zürich, Schweiz",47.3925426,8.5384811,Kreis 6,Unterstrass,migros_group,1.0
Denner Express,"Schaffhauserstrasse 11, 8006 Zürich, Schweiz",47.3888953,8.5388586,Kreis 6,Unterstrass,migros_group,0.3
Denner Express,"Sihlhallenstrasse 5/7, 8004 Zürich, Schweiz",47.379543,8.527069,Kreis 6,Unterstrass,migros_group,0.3
Denner Express,"Landenbergstrasse 22, 8037 Zürich, Schweiz",47.392777599999995,8.528612899999999,Kreis 6,Unterstrass,migros_group,0.3
Denner Discount,"Schwamendingenstrasse 24, 8050 Zürich, Schweiz",47.407367099999995,8.5484298,Kreis 6,Unterstrass,migros_group,1.0
Denner Discount,"Regensbergstrasse 309, 8050 Zürich, Schweiz",47.4114292,8.5265716,Kreis 6,Unterstrass,migros_group,1.0
Denner Discount,"Hofwiesenstrasse 350, 8050 Zürich, Schweiz",47.4103609,8.5434623,Kreis 6,Unterstrass,migros_group,1.0
Denner Discount,"Schaffhauserstrasse 491, 8052 Zürich, Schweiz",47.4209472,8.5490585,Kreis 6,Unterstrass,migros_group,1.0
Migrol Tankstelle,"Wehntalerstrasse 18, 8057 Zürich, Schweiz",47.3980907,8.5399395,Kreis 6,Unterstrass,migros_group,1.0
migrolino Zürich Hardau,"Bullingerstrasse 73, 8004 Zürich, Schweiz",47.3814267,8.510088999999999,Kreis 6,Unterstrass,migros_group,0.3
migrolino Zürich Lagerstrasse,"Lagerstrasse 101, 8004 Zürich, Schweiz",47.3795557,8.5294162,Kreis 6,Unterstrass,migros_group,0.3
Coop Supermarkt Zürich Universitätstrasse,"Universitätstrasse 73, 8006 Zürich, Schweiz",47.3825177,8.5480238,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Milchbuck,"Milchbuckstrasse 1/5, 8057 Zürich, Schweiz",47.39567,8.540406599999999,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Rigiplatz,"Universitätstrasse 101, 8006 Zürich, Schweiz",47.3839569,8.548060399999999,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Guggach,"Hofwiesenstrasse 185, 8057 Zürich, Schweiz",47.4017732,8.5342696,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Josefstrasse,"Röntgenstrasse 48, 8005 Zürich, Schweiz",47.3847527,8.527192099999999,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Scheffelstrasse,"Scheffelstrasse 12, 8037 Zürich, Schweiz",47.3938049,8.5295752,Kreis 6,Unterstrass,competitors,1.0
Coop Pronto Shop Zürich Hofwiesenstrasse,"Hofwiesenstrasse 5, 8057 Zürich, Schweiz",47.392223699999995,8.5381111,Kreis 6,Unterstrass,competitors,0.3
Coop Supermarkt Zürich Europaallee Passage,"Europaallee 5, 8004 Zürich, Schweiz",47.377835999999995,8.534764599999999,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Zollstrasse,"Zollstrasse 42, 8005 Zürich, Schweiz",47.380495499999995,8.534856,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Dorflinde,"Schwamendingenstrasse 39/41, 8050 Zürich, Schweiz",47.4076063,8.5492653,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Hofwiesenstrasse,"Hofwiesenstrasse 370, 8050 Zürich, Schweiz",47.4111959,8.5444925,Kreis 6,Unterstrass,competitors,1.0
Coop Supermarkt Zürich Puls 5,"Giessereistrasse 18, 8005 Zürich, Schweiz",47.3907648,8.518288499999999,Kreis 6,Unterstrass,competitors,1.0
Züri 11,"Ohmstrasse 11, 8050 Zürich, Schweiz",47.410403200000005,8.545748399999999,Kreis 6,Unterstrass,competitors,1.0
Migros-Supermarkt - Zürich - Rigiplatz,"Winterthurerstrasse 2/4, 8006 Zürich, Schweiz",47.3860579,8.5486902,Kreis 6,Unterstrass,competitors,1.0
Spar Express Neunbrunnenstrasse,"Neunbrunnenstrasse 40, 8050 Zürich, Schweiz",47.4173318,8.5405674,Kreis 6,Unterstrass,competitors,0.3
SPAR Supermarkt Dübendorf,"u. Geerenstrasse 1, 8600 Dübendorf, Schweiz",47.3896387,8.6172946,Kreis 6,Unterstrass,competitors,1.0
Post Filiale 8068 Zürich West,"SPAR express, Hardturmstrasse 126, 8005 Zürich, Schweiz",47.393507199999995,8.5132737,Kreis 6,Unterstrass,competitors,1.0
SPAR Supermarkt Dietlikon,"Bahnhofstrasse 42, 8305 Dietlikon, Schweiz",47.423181199999995,8.6186765,Kreis 6,Unterstrass,competitors,1.0
mio by migrolino,"Bergstrasse 117, 8032 Zürich, Schweiz",47.3679705,8.564529499999999,Kreis 6,Oberstrass,migros_group,0.3
Migrol Service,"Sihlquai 155, 8005 Zürich, Schweiz",47.386053999999994,8.531918,Kreis 6,Oberstrass,migros_group,1.0
migrolino Zürich Affoltern,"Bahnhof, Riedenhaldenstrasse 282, 8046 Zürich, Schweiz",47.4209934,8.5079609,Kreis 6,Oberstrass,migros_group,0.3
Linde Oberstrass,"Universitätstrasse 91, 8006 Zürich, Schweiz",47.383437,8.547995,Kreis 6,Oberstrass,migros_group,1.0
migrolino Zürich Furttal,"Wehntalerstrasse 586C, 8046 Zürich, Schweiz",47.4209373,8.5026301,Kreis 6,Oberstrass,migros_group,0.3
migrolino Manegg,"Allmendstrasse 121, 8041 Zürich, Schweiz",47.3405352,8.519438599999999,Kreis 7,Fluntern,migros_group,0.3
